Date,IT Dep.,CostElement,Country,Budget
01-02-2020,Business Intelligence,Recognition,USA,26
01-03-2020,Business Intelligence,Recognition,USA,26
01-04-2020,Business Intelligence,Recognition,USA,26
01-05-2020,Business Intelligence,Recognition,USA,26
01-06-2020,Business Intelligence,Recognition,USA,26
01-07-2020,Business Intelligence,Recognition,USA,26
01-08-2020,Business Intelligence,Recognition,USA,26
01-09-2020,Business Intelligence,Recognition,USA,26
01-10-2020,Business Intelligence,Recognition,USA,26
01-11-2020,Business Intelligence,Recognition,USA,26
01-12-2020,Business Intelligence,Recognition,USA,26
01-01-2020,Business Intelligence,Software,USA,70
01-02-2020,Business Intelligence,Software,USA,70
01-03-2020,Business Intelligence,Software,USA,70
01-04-2020,Business Intelligence,Software,USA,70
01-05-2020,Business Intelligence,Software,USA,70
01-06-2020,Business Intelligence,Software,USA,70
01-07-2020,Business Intelligence,Software,USA,70
01-08-2020,Business Intelligence,Software,USA,70
01-09-2020,Business Intelligence,Software,USA,70
01-10-2020,Business Intelligence,Software,USA,70
01-11-2020,Business Intelligence,Software,USA,70
01-12-2020,Business Intelligence,Software,USA,70
01-07-2020,Business Intelligence,Software Maintenance,USA,"5,396"
01-01-2020,Business Intelligence,Supplies,USA,210
01-02-2020,Business Intelligence,Supplies,USA,210
01-03-2020,Business Intelligence,Supplies,USA,210
01-04-2020,Business Intelligence,Supplies,USA,210
01-05-2020,Business Intelligence,Supplies,USA,210
01-06-2020,Business Intelligence,Supplies,USA,210
01-07-2020,Business Intelligence,Supplies,USA,210
01-08-2020,Business Intelligence,Supplies,USA,210
01-09-2020,Business Intelligence,Supplies,USA,210
01-10-2020,Business Intelligence,Supplies,USA,210
01-11-2020,Business Intelligence,Supplies,USA,210
01-12-2020,Business Intelligence,Supplies,USA,210
01-01-2020,Business Intelligence,Telecomm,USA,840
01-02-2020,Business Intelligence,Telecomm,USA,840
01-03-2020,Business Intelligence,Telecomm,USA,840
01-04-2020,Business Intelligence,Telecomm,USA,840
01-05-2020,Business Intelligence,Telecomm,USA,840
01-06-2020,Business Intelligence,Telecomm,USA,840
01-07-2020,Business Intelligence,Telecomm,USA,840
01-08-2020,Business Intelligence,Telecomm,USA,840
01-09-2020,Business Intelligence,Telecomm,USA,840
01-10-2020,Business Intelligence,Telecomm,USA,840
01-11-2020,Business Intelligence,Telecomm,USA,840
01-12-2020,Business Intelligence,Telecomm,USA,840
01-01-2020,Business Intelligence,Training,USA,"1,505"
01-02-2020,Business Intelligence,Training,USA,"1,505"
01-03-2020,Business Intelligence,Training,USA,"1,505"
01-04-2020,Business Intelligence,Training,USA,"1,505"
01-05-2020,Business Intelligence,Training,USA,"1,505"
01-06-2020,Business Intelligence,Training,USA,"1,505"
01-07-2020,Business Intelligence,Training,USA,"1,505"
01-08-2020,Business Intelligence,Training,USA,"1,505"
01-09-2020,Business Intelligence,Training,USA,"1,505"
01-10-2020,Business Intelligence,Training,USA,"1,505"
01-11-2020,Business Intelligence,Training,USA,"1,505"
01-12-2020,Business Intelligence,Training,USA,"1,505"
01-01-2020,Business Intelligence,Travel,USA,875
01-02-2020,Business Intelligence,Travel,USA,"2,975"
01-03-2020,Business Intelligence,Travel,USA,875
01-04-2020,Business Intelligence,Travel,USA,875
01-05-2020,Business Intelligence,Travel,USA,"2,975"
01-06-2020,Business Intelligence,Travel,USA,875
01-07-2020,Business Intelligence,Travel,USA,875
01-08-2020,Business Intelligence,Travel,USA,"2,975"
01-09-2020,Business Intelligence,Travel,USA,875
01-10-2020,Business Intelligence,Travel,USA,875
01-11-2020,Business Intelligence,Travel,USA,"2,975"
01-12-2020,Business Intelligence,Travel,USA,875
01-01-2020,Core,Employee Performance,USA,29
01-02-2020,Core,Employee Performance,USA,29
01-03-2020,Core,Employee Performance,USA,29
01-04-2020,Core,Employee Performance,USA,29
01-05-2020,Core,Employee Performance,USA,29
01-06-2020,Core,Employee Performance,USA,29
01-07-2020,Core,Employee Performance,USA,29
01-08-2020,Core,Employee Performance,USA,29
01-09-2020,Core,Employee Performance,USA,29
01-10-2020,Core,Employee Performance,USA,29
01-11-2020,Core,Employee Performance,USA,29
01-12-2020,Core,Employee Performance,USA,29
01-01-2020,Core,Internal Labor,USA,"19,397"
01-02-2020,Core,Internal Labor,USA,"20,544"
01-03-2020,Core,Internal Labor,USA,"21,380"
01-04-2020,Core,Internal Labor,USA,"19,729"
01-05-2020,Core,Internal Labor,USA,"19,729"
01-06-2020,Core,Internal Labor,USA,"19,729"
01-07-2020,Core,Internal Labor,USA,"19,852"
01-08-2020,Core,Internal Labor,USA,"19,852"
01-09-2020,Core,Internal Labor,USA,"19,852"
01-10-2020,Core,Internal Labor,USA,"20,161"
01-11-2020,Core,Internal Labor,USA,"19,945"
01-12-2020,Core,Internal Labor,USA,"19,812"
01-01-2020,Core,Other,USA,400
01-02-2020,Core,Other,USA,400
01-03-2020,Core,Other,USA,400
01-04-2020,Core,Other,USA,400
01-05-2020,Core,Other,USA,400
01-06-2020,Core,Other,USA,400
01-07-2020,Core,Other,USA,400
01-08-2020,Core,Other,USA,400
01-09-2020,Core,Other,USA,400
01-10-2020,Core,Other,USA,400
01-11-2020,Core,Other,USA,400
01-12-2020,Core,Other,USA,400
01-01-2020,Core,Recognition,USA,8
01-02-2020,Core,Recognition,USA,8
01-03-2020,Core,Recognition,USA,8
01-04-2020,Core,Recognition,USA,8
01-05-2020,Core,Recognition,USA,8
01-06-2020,Core,Recognition,USA,8
01-07-2020,Core,Recognition,USA,8
01-08-2020,Core,Recognition,USA,8
01-09-2020,Core,Recognition,USA,8
01-10-2020,Core,Recognition,USA,8
01-11-2020,Core,Recognition,USA,8
01-12-2020,Core,Recognition,USA,8
01-01-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-02-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-03-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-04-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-05-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-06-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-07-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-08-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-09-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-10-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-11-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-12-2020,Core Infrastructure,Depreciation,Brazil,"18,716"
01-01-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-02-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-03-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-04-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-05-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-06-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-07-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-08-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-09-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-10-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-11-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-12-2020,Core Infrastructure,Depreciation,Canada,"12,617"
01-01-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-02-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-03-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-04-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-05-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-06-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-07-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-08-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-09-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-10-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-11-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-12-2020,Core Infrastructure,Depreciation,Mexico,"4,616"
01-01-2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
01-02-2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
01-03-2020,Core Infrastructure,Depreciation,New Zealand,"82,256"
